path,role,bytes,modified_utc,sha256,version_basis
Outputs/0_preprocessing/conspiracy/tf-idf/conspiracy_svd_enriched_train_data.parquet,training row-to-thread mapping,28461691,2025-12-02T20:24:18.673141+00:00,4d53bcf901477bd91a88caf9794aa5c2d0914fd20db6deb6067889d7aa2f5cdd,frozen input/output; not tracked by Scripts Git
Outputs/0_preprocessing/crypto/3_model_data_log.xlsx,final preprocessing population table,8421,2025-12-02T20:13:40.691398+00:00,7af28f8b9faa87fe88c227abc939be7dbeef2c89ae31c70e55744c5785da2676,frozen input/output; not tracked by Scripts Git
Outputs/0_preprocessing/crypto/crypto_test_Y.parquet,final chronological held-out outcomes,68293,2025-12-02T20:13:40.354857+00:00,27291ce72204717b7df8cee66dede6986738936b8e2832bb36939a895341b5d3,frozen input/output; not tracked by Scripts Git
Outputs/0_preprocessing/crypto/crypto_threads_extra_feats.parquet,feature-construction root output,4405994,2025-12-02T20:04:03.153123+00:00,9c8848f2f41254feaae68d7d700a6772fa5ad639dc658ff8c84d041d00fb1edb,frozen input/output; not tracked by Scripts Git
Outputs/0_preprocessing/crypto/crypto_train_Y.parquet,final training outcomes,260816,2025-12-02T20:13:40.263390+00:00,38dc3fc74b9a84245a68938116506617c23746736f8391e8c7fc9c6d3289311f,frozen input/output; not tracked by Scripts Git
Outputs/0_preprocessing/crypto/logs/crypto_0_1_construct_features.out,executed preprocessing log,897,2025-12-02T20:04:03.153552+00:00,1b0bcce353f028ee2c2c18c9fa388c2dd7dc075cfd14b3bc1180b5fd85b89a94,frozen input/output; not tracked by Scripts Git
Outputs/0_preprocessing/crypto/logs/crypto_0_2_tfidf_analysis.out,executed preprocessing log,23601,2025-12-02T20:13:36.310672+00:00,82f943b54af7a82985441e63125513ef84dfa198a014ae8275df0f5ead3d235d,frozen input/output; not tracked by Scripts Git
Outputs/0_preprocessing/crypto/logs/crypto_0_3_model_data.out,executed preprocessing log,6413,2025-12-02T20:13:40.691577+00:00,0b3433734d4b88a96174f6a548be8a18ac926b8ef75dd48239a5facf2c8753d2,frozen input/output; not tracked by Scripts Git
Outputs/0_preprocessing/crypto/tf-idf/crypto_svd_enriched_test_data.parquet,held-out row-to-thread mapping,7821408,2025-12-02T20:13:31.939292+00:00,179ee6077476fa4878b46774be40378ceba8867d94723f00b658b49302061233,frozen input/output; not tracked by Scripts Git
Outputs/0_preprocessing/crypto/tf-idf/crypto_svd_enriched_train_data.parquet,training row-to-thread mapping,31064710,2025-12-02T20:13:22.966041+00:00,435061ded64cf05de5706b4c597e2a7f78fd080df9b8f6322a4ab876d5ecab6c,frozen input/output; not tracked by Scripts Git
Outputs/0_preprocessing/politics/3_model_data_log.xlsx,final preprocessing population table,8097,2025-12-03T14:01:21.425337+00:00,78d83a59e6f2ca774415c6d4dac925db5c0027657b1e30f5f871be4da7d3c666,frozen input/output; not tracked by Scripts Git
Outputs/0_preprocessing/politics/logs/politics_0_1_construct_features.out,executed preprocessing log,907,2025-12-02T22:58:44.478517+00:00,68efb91d66cb11ef0aa7a06a182d81e5b67a29c9079fff7c735d9e429df315d7,frozen input/output; not tracked by Scripts Git
Outputs/0_preprocessing/politics/logs/politics_0_2_tfidf_analysis.out,executed preprocessing log,24445,2025-12-03T14:00:55.013116+00:00,cb573d4654977073bba11af0b58b1318d52ea7367659db0adbfd8656b48e5363,frozen input/output; not tracked by Scripts Git
Outputs/0_preprocessing/politics/logs/politics_0_3_model_data.out,executed preprocessing log,6944,2025-12-03T14:01:21.425569+00:00,e44b722378973b337b88a3be1f7f8947b9b8cb0591acc301ea0226aa95bcbd68,frozen input/output; not tracked by Scripts Git
Outputs/0_preprocessing/politics/politics_test_Y.parquet,final chronological held-out outcomes,355953,2025-12-03T14:01:21.036453+00:00,4e164854f234b5fda8f9c50decb3e2cd94afd2cf1ddf4be40f42a9a15964f5c8,frozen input/output; not tracked by Scripts Git
Outputs/0_preprocessing/politics/politics_threads_extra_feats.parquet,feature-construction root output,9791535,2025-12-02T22:58:44.477965+00:00,9ceedfc958183659547cf531b78d221ad30ed481c410db9d5814bf6d2e8727ab,frozen input/output; not tracked by Scripts Git
Outputs/0_preprocessing/politics/politics_train_Y.parquet,final training outcomes,1299283,2025-12-03T14:01:20.641208+00:00,1016feb57b822593c93244efb0203cc2197c9bffa896493ffad89dbc19bd0d4e,frozen input/output; not tracked by Scripts Git
Outputs/0_preprocessing/politics/tf-idf/politics_svd_enriched_test_data.parquet,held-out row-to-thread mapping,41409798,2025-12-03T14:00:54.579602+00:00,8088ee012fd253f32bc07fea6e5fd01bde05398cdefa577bda04ef5e6b8c77a6,frozen input/output; not tracked by Scripts Git
Outputs/0_preprocessing/politics/tf-idf/politics_svd_enriched_train_data.parquet,training row-to-thread mapping,168997832,2025-12-03T14:00:52.697093+00:00,e112a97f58be946d55483025b03d79b287c7fd0b579a14e1258f11b8e121da03,frozen input/output; not tracked by Scripts Git
Outputs/2_thread_size/conspiracy/3_h_tuning/params_post_hyperparam_tuning.jl,frozen training-derived class boundaries,10429,2025-12-08T02:08:16.221782+00:00,35db3d661610579d446bed1e87b1454c987da00f00f2ab61eafca8aac525fc2c,frozen input/output; not tracked by Scripts Git
Outputs/2_thread_size/conspiracy/4_model/model_3/test_data_results.xlsx,selected-model class-distribution table,11665,2025-12-08T02:14:32.344048+00:00,948da32f6b2a96c4115b89698df7b9d6b23b97cbb5e328d72ce0690b663aec09,frozen input/output; not tracked by Scripts Git
Outputs/2_thread_size/crypto/3_h_tuning/params_post_hyperparam_tuning.jl,frozen training-derived class boundaries,10418,2025-12-08T01:58:30.037209+00:00,52ad2be022b730259b26d3b2a6e754615a489481f0dd71824e5ef46f4ac607d7,frozen input/output; not tracked by Scripts Git
Outputs/2_thread_size/crypto/4_model/model_2/test_data_results.xlsx,selected-model class-distribution table,11575,2025-12-08T02:03:59.523444+00:00,e0eb3aae582e68ebca1a9158c6dd8d41b40e36afbf1a7a3121ca7ded117a8ff9,frozen input/output; not tracked by Scripts Git
Outputs/2_thread_size/politics/3_h_tuning/params_post_hyperparam_tuning.jl,frozen training-derived class boundaries,10393,2025-12-08T07:59:39.780450+00:00,a9c671e5fe659a611d4c38c0814167256e450973fde7d9425c49bf19186f071d,frozen input/output; not tracked by Scripts Git
Outputs/2_thread_size/politics/4_model/model_3/test_data_results.xlsx,selected-model class-distribution table,11644,2025-12-08T08:07:02.279773+00:00,e11f23a7df0d31794186524511f2bbbf5926404cd368d1436b79df20de9890a1,frozen input/output; not tracked by Scripts Git
Publication_Outputs/2_Thread_Size/cms/predicted_class_ratios.xlsx,thesis-facing true class-distribution ratios,10158,2025-12-08T11:49:06.097686+00:00,6fa286edff8f6f746d7ee762cfc481cfee20bf770c8cebc9a7a2de19d578235b,frozen modelling output
Scripts/0_Preprocessing/1_construct_features.py,code or prior validation evidence,14840,2025-12-02T20:22:26.660552+00:00,e33a79e89e0132f149ffddc1abb675583228d4c8892b0066e1d7d05fdbe9bd81,1051e881a2d0fe4a9ae7886d2d3b2985d0da610a
Scripts/0_Preprocessing/2_tf_idf_analysis.py,code or prior validation evidence,13486,2025-12-02T20:22:41.124636+00:00,a1e437a59d160293029a9cc0a01f65e17fcc38e23e26855433c86da272861eae,1051e881a2d0fe4a9ae7886d2d3b2985d0da610a
Scripts/0_Preprocessing/3_model_data.py,code or prior validation evidence,12134,2025-12-02T20:23:05.126862+00:00,c463fbd8b503d6e912591fef508091e7502fbfa8082bd8766417305bbc88f434,1051e881a2d0fe4a9ae7886d2d3b2985d0da610a
Scripts/2_Thread_size/2_tuning.py,code or prior validation evidence,23237,2025-12-06T12:58:15.050724+00:00,90034f98687501b9b48e7c4d5e6f7d585324fc7b3765f7c2c4ffa6669d538d17,1051e881a2d0fe4a9ae7886d2d3b2985d0da610a
Scripts/2_Thread_size/3_hyperparameter_tuning.py,code or prior validation evidence,16666,2025-12-07T17:33:06.430360+00:00,0b9ea1fc016ff399d541acc0da75033ebf077087bb189b60270138ad066d2bf7,1051e881a2d0fe4a9ae7886d2d3b2985d0da610a
Scripts/2_Thread_size/4_run_tuned_model.py,code or prior validation evidence,32246,2025-12-07T17:58:45.159562+00:00,252c434551e2bd6c092b44625690772ce261bc0716b8209dddc3d72ee9c1f518,1051e881a2d0fe4a9ae7886d2d3b2985d0da610a
Scripts/audits/probability_calibration/outputs/chronological_partitions.csv,code or prior validation evidence,604,2026-09-03T20:36:30.272949+00:00,acc6de35ae31e5bdb8e0d6160dd18c711564c5feb7643bc07d5c039de61eb221,1051e881a2d0fe4a9ae7886d2d3b2985d0da610a
Scripts/audits/probability_calibration/outputs/validation_checks.csv,code or prior validation evidence,4834,2026-09-03T20:36:30.278979+00:00,65b84ed8164b5a511ab2377654ddbebd5653c86ceb1d6ee32ebb8d18708cdd02,1051e881a2d0fe4a9ae7886d2d3b2985d0da610a
Scripts/audits/thread_size_distribution/audit_thread_size_distribution.py,code or prior validation evidence,43684,2026-09-10T19:25:36.635713+00:00,39bc1ab2e6c187b736b8c51d9a42f07890c63531e9f780a3e4e54380a814ef11,1051e881a2d0fe4a9ae7886d2d3b2985d0da610a
Scripts/audits/thread_size_distribution/render_ccdf.py,code or prior validation evidence,3382,2026-09-10T19:30:01.870120+00:00,4b79fed2b66802a8638e49dc02defc0b954c547b01809774bd2a9514cb35a947,1051e881a2d0fe4a9ae7886d2d3b2985d0da610a
